center_id,center_name,region,market_size_weight,lead_time_days_from_plant,supplying_plant_id
DC-01,Northgate Distribution Center,North,1.35,3,PLANT-A
DC-02,Lakeside Distribution Center,North,1.05,4,PLANT-A
DC-03,Summit Distribution Center,North,0.85,5,PLANT-A
DC-04,Fairview Distribution Center,North,0.7,4,PLANT-A
DC-05,Brookhaven Distribution Center,South,1.2,3,PLANT-B
DC-06,Cedar Falls Distribution Center,South,0.95,4,PLANT-B
DC-07,Ashford Distribution Center,South,0.75,5,PLANT-B
DC-08,Kingsport Distribution Center,South,0.65,6,PLANT-B
DC-09,Rosedale Distribution Center,East,1.1,3,PLANT-C
DC-10,Elmwood Distribution Center,East,0.9,4,PLANT-C
DC-11,Harborview Distribution Center,East,0.8,4,PLANT-C
DC-12,Silverton Distribution Center,East,0.6,6,PLANT-C
DC-13,Westfield Distribution Center,East,0.55,6,PLANT-C
DC-14,Meridian Distribution Center,South,1.0,4,PLANT-B
